itemName,answerType,mean,mean_zscored
gym-boxing,sameCategory1,67.16666666666667,0.5002391296782318
gym-boxing,sameCategory2,64.66666666666667,0.3968839375959525
gym-boxing,otherCategory1,35.833333333333336,-0.7951459444196691
gym-boxing,otherCategory2,31.083333333333332,-0.9915208093759998
furniture-outdoors,competitor,62.642857142857146,0.4874894094028851
furniture-outdoors,sameCategory1,53.5,0.16650872831456565
furniture-outdoors,sameCategory2,63.07142857142857,0.5025353788289001
furniture-outdoors,otherCategory1,31.142857142857142,-0.6183893434092156
furniture-outdoors,otherCategory2,33.42857142857143,-0.5381441731371357
furniture-indoors,competitor,50.2,0.417070713322754
furniture-indoors,sameCategory1,32.6,-0.23832612189871658
furniture-indoors,sameCategory2,48.8,0.3649368741574098
furniture-indoors,otherCategory1,29.066666666666666,-0.36990200169696635
furniture-indoors,otherCategory2,34.333333333333336,-0.17377946388448084
petAdoption-hamster,competitor,79.25,1.095165110256945
petAdoption-hamster,sameCategory1,62.0625,0.5361999927353045
petAdoption-hamster,sameCategory2,46.5,0.03008248632480094
petAdoption-hamster,otherCategory1,19,-0.8642617017098239
petAdoption-hamster,otherCategory2,21.0625,-0.797185887607227
electronics-console,competitor,44.6875,0.11189770368487274
electronics-console,sameCategory1,42.75,0.04388145242544027
electronics-console,sameCategory2,45.125,0.12725621203377685
electronics-console,otherCategory1,38.25,-0.11409177630614478
electronics-console,otherCategory2,36.6875,-0.16894359183794513
books-fantasy,competitor,61.38461538461539,0.35122793336722136
books-fantasy,sameCategory1,68.84615384615384,0.6194886383799809
books-fantasy,sameCategory2,55.30769230769231,0.13274756536713883
books-fantasy,otherCategory1,27.076923076923077,-0.8822181948357761
books-fantasy,otherCategory2,45.46153846153846,-0.22124594227856448
bar-tea,competitor,59.142857142857146,0.5214482188620242
bar-tea,sameCategory1,60.714285714285715,0.5745586855979711
bar-tea,sameCategory2,50.42857142857143,0.22692653968995496
bar-tea,otherCategory1,21.142857142857142,-0.7628594312981466
bar-tea,otherCategory2,27.142857142857142,-0.5600740128518038
plants-flowers,competitor,60.666666666666664,0.35903131575464486
plants-flowers,sameCategory1,53.93333333333333,0.05684662499448551
plants-flowers,sameCategory2,53.93333333333333,0.05684662499448553
plants-flowers,otherCategory1,52,-0.02991927631288698
plants-flowers,otherCategory2,42.8,-0.44280528943072844
clothing-winter,competitor,60.9,0.5394261660787801
clothing-winter,sameCategory1,57.3,0.41910806212068796
clothing-winter,sameCategory2,68.5,0.7934310522125304
clothing-winter,otherCategory1,22.7,-0.7372826036987539
clothing-winter,otherCategory2,14.4,-1.0146826767132442
friendsActivities-videoEntertainment,competitor,46.25,0.3235756990291374
friendsActivities-videoEntertainment,sameCategory1,36,-0.05403161577716156
friendsActivities-videoEntertainment,sameCategory2,48.583333333333336,0.40953508776553066
friendsActivities-videoEntertainment,otherCategory1,27.083333333333332,-0.38251927987695006
friendsActivities-videoEntertainment,otherCategory2,29.416666666666668,-0.2965598911405568
disney-princess,competitor,73.28571428571429,0.5755788901164572
disney-princess,sameCategory1,70.71428571428571,0.464653622213928
disney-princess,sameCategory2,66.85714285714286,0.29826572036013416
disney-princess,otherCategory1,43.5,-0.7093054630878397
disney-princess,otherCategory2,45.357142857142854,-0.6291927696026798
movie-western,competitor,71,0.8532346033555324
movie-western,sameCategory1,39.5,-0.352779691771999
movie-western,sameCategory2,55.714285714285715,0.26800317669500695
movie-western,otherCategory1,43.42857142857143,-0.2023697456676584
movie-western,otherCategory2,33.92857142857143,-0.5660883426108821
dutyFree-sweets,competitor,70.11111111111111,0.6953608518882762
dutyFree-sweets,sameCategory1,57.333333333333336,0.07928613719527335
dutyFree-sweets,sameCategory2,66.66666666666667,0.5292885374927712
dutyFree-sweets,otherCategory1,39.77777777777778,-0.7671469490785915
dutyFree-sweets,otherCategory2,44.55555555555556,-0.5367885774977295
friendsActivities-boardGames,competitor,69,0.9464326448568848
friendsActivities-boardGames,sameCategory1,51.357142857142854,0.13020058033296525
friendsActivities-boardGames,sameCategory2,50.642857142857146,0.09715474776114662
friendsActivities-boardGames,otherCategory1,33.642857142857146,-0.6893360674481361
friendsActivities-boardGames,otherCategory2,38.07142857142857,-0.4844519055028609
movie-fantasy,competitor,58.54545454545455,0.1679121977957492
movie-fantasy,sameCategory1,47.36363636363637,-0.2870041090077126
movie-fantasy,sameCategory2,45.72727272727273,-0.35357722707651196
movie-fantasy,otherCategory1,50.27272727272727,-0.16865189910762501
movie-fantasy,otherCategory2,70.18181818181819,0.6413210373960997
gym-yoga,competitor,62,0.4610354233947176
gym-yoga,sameCategory1,63.18181818181818,0.4985884340722322
gym-yoga,sameCategory2,54,0.20683042803923418
gym-yoga,otherCategory1,23.90909090909091,-0.7493269976728681
gym-yoga,otherCategory2,34.36363636363637,-0.417127287833316
disney-action,competitor,82.53846153846153,0.7270935002166977
disney-action,sameCategory1,70.61538461538461,0.34583675957533055
disney-action,sameCategory2,78.07692307692308,0.5844296875896055
disney-action,otherCategory1,38.07692307692308,-0.6946251842394973
disney-action,otherCategory2,29.692307692307693,-0.9627347631421361
